 batch,IMC_val,history_count,variance,stdv,rel_err,batch_time
151,  1.2564070E+01,4277,  7.9280910E-04,  2.8156866E-02,  2.2799316E+01,  9.7000040E-05
152,  1.2571343E+01,4319,  7.8690771E-04,  2.8051875E-02,  2.2813092E+01,  9.6000032E-05
153,  1.2383620E+01,4362,  7.8140889E-04,  2.7953692E-02,  2.2457501E+01,  9.8000048E-05
154,  1.2511766E+01,4405,  7.7397154E-04,  2.7820344E-02,  2.2700239E+01,  1.0100007E-04
155,  1.2557308E+01,4449,  7.6755651E-04,  2.7704810E-02,  2.2786507E+01,  1.0000006E-04
156,  1.2416201E+01,4493,  7.6103243E-04,  2.7586816E-02,  2.2519216E+01,  1.0099984E-04
157,  1.2454736E+01,4537,  7.5382302E-04,  2.7455838E-02,  2.2592211E+01,  8.3999941E-05
158,  1.2526111E+01,4582,  7.4682801E-04,  2.7328154E-02,  2.2727412E+01,  8.4999949E-05
159,  1.2774139E+01,4627,  7.5778176E-04,  2.7527836E-02,  2.3197237E+01,  8.6999964E-05
160,  1.2603566E+01,4673,  7.5332379E-04,  2.7446745E-02,  2.2874131E+01,  1.1199992E-04
161,  1.2484936E+01,4719,  7.4597903E-04,  2.7312617E-02,  2.2649417E+01,  8.7999972E-05
162,  1.2511093E+01,4766,  7.3875778E-04,  2.7180099E-02,  2.2698964E+01,  8.8999979E-05
163,  1.2321604E+01,4813,  7.3709980E-04,  2.7149582E-02,  2.2340028E+01,  8.9999987E-05
164,  1.2482257E+01,4861,  7.2982096E-04,  2.7015199E-02,  2.2644343E+01,  1.1699996E-04
165,  1.2413724E+01,4909,  7.2370125E-04,  2.6901696E-02,  2.2514526E+01,  9.2000002E-05
166,  1.2611816E+01,4958,  7.1981350E-04,  2.6829340E-02,  2.2889757E+01,  9.3000010E-05
167,  1.2464766E+01,5007,  7.1284876E-04,  2.6699228E-02,  2.2611210E+01,  9.3000010E-05
168,  1.2622633E+01,5057,  7.0953225E-04,  2.6637047E-02,  2.2910248E+01,  9.4999792E-05
169,  1.2392345E+01,5107,  7.0427950E-04,  2.6538265E-02,  2.2474028E+01,  9.5000025E-05
170,  1.2546291E+01,5158,  6.9803616E-04,  2.6420374E-02,  2.2765637E+01,  9.6000032E-05
171,  1.2477330E+01,5209,  6.9121320E-04,  2.6290934E-02,  2.2635010E+01,  9.7000040E-05
172,  1.2581838E+01,5261,  6.8613702E-04,  2.6194217E-02,  2.2832972E+01,  9.7999815E-05
173,  1.2426763E+01,5313,  6.8007664E-04,  2.6078279E-02,  2.2539224E+01,  9.9000055E-05
174,  1.2589285E+01,5366,  6.7534914E-04,  2.5987480E-02,  2.2847079E+01,  1.0000006E-04
175,  1.2528427E+01,5419,  6.6906944E-04,  2.5866377E-02,  2.2731800E+01,  1.0100007E-04
176,  1.2419225E+01,5473,  6.6328858E-04,  2.5754390E-02,  2.2524945E+01,  1.0200008E-04
177,  1.2403637E+01,5527,  6.5803032E-04,  2.5652102E-02,  2.2495419E+01,  1.0300009E-04
178,  1.2474128E+01,5582,  6.5156908E-04,  2.5525851E-02,  2.2628944E+01,  1.0400009E-04
179,  1.2390934E+01,5637,  6.4679053E-04,  2.5432077E-02,  2.2471356E+01,  1.2300001E-04
180,  1.2663195E+01,5693,  6.4597270E-04,  2.5415993E-02,  2.2987082E+01,  1.6300008E-04
181,  1.2390294E+01,5749,  6.4126481E-04,  2.5323207E-02,  2.2470142E+01,  1.0799989E-04
182,  1.2604393E+01,5806,  6.3739007E-04,  2.5246585E-02,  2.2875697E+01,  1.3200007E-04
183,  1.2420107E+01,5864,  6.3182448E-04,  2.5136119E-02,  2.2526615E+01,  1.4599995E-04
184,  1.2460880E+01,5922,  6.2573956E-04,  2.5014787E-02,  2.2603849E+01,  1.3799989E-04
185,  1.2659072E+01,5981,  6.2456792E-04,  2.4991357E-02,  2.2979273E+01,  1.3700011E-04
186,  1.2541021E+01,6040,  6.1895399E-04,  2.4878786E-02,  2.2755656E+01,  1.1199992E-04
187,  1.2536742E+01,6100,  6.1327035E-04,  2.4764296E-02,  2.2747550E+01,  1.1399994E-04
188,  1.2446317E+01,6161,  6.0746659E-04,  2.4646837E-02,  2.2576263E+01,  1.1499994E-04
189,  1.2563492E+01,6222,  6.0244731E-04,  2.4544802E-02,  2.2798220E+01,  1.1699996E-04
190,  1.2561175E+01,6284,  5.9736562E-04,  2.4441064E-02,  2.2793832E+01,  1.1699996E-04
191,  1.2543505E+01,6346,  5.9201629E-04,  2.4331385E-02,  2.2760361E+01,  1.1799997E-04
192,  1.2457235E+01,6409,  5.8634300E-04,  2.4214520E-02,  2.2596944E+01,  1.1999998E-04
193,  1.2474435E+01,6473,  5.8057249E-04,  2.4095072E-02,  2.2629525E+01,  1.2099999E-04
194,  1.2369989E+01,6537,  5.7699969E-04,  2.4020818E-02,  2.2431680E+01,  1.2200000E-04
195,  1.2390303E+01,6602,  5.7273246E-04,  2.3931829E-02,  2.2470160E+01,  1.2300001E-04
196,  1.2580712E+01,6668,  5.6838207E-04,  2.3840765E-02,  2.2830839E+01,  1.2500002E-04
197,  1.2615976E+01,6734,  5.6526242E-04,  2.3775248E-02,  2.2897638E+01,  1.2700004E-04
198,  1.2528466E+01,6801,  5.5993469E-04,  2.3662939E-02,  2.2731874E+01,  1.2700004E-04
199,  1.2449619E+01,6869,  5.5460444E-04,  2.3550041E-02,  2.2582518E+01,  1.2900005E-04
200,  1.2479965E+01,6937,  5.4917601E-04,  2.3434505E-02,  2.2640001E+01,  1.2900005E-04
201,  1.2532356E+01,7006,  5.4404869E-04,  2.3324851E-02,  2.2739241E+01,  1.3600010E-04
202,  1.2485410E+01,7076,  5.3866683E-04,  2.3209197E-02,  2.2650314E+01,  1.3100007E-04
203,  1.2641052E+01,7146,  5.3665191E-04,  2.3165749E-02,  2.2945138E+01,  1.3400009E-04
204,  1.2573977E+01,7217,  5.3237328E-04,  2.3073216E-02,  2.2818082E+01,  1.3500010E-04
205,  1.2438018E+01,7289,  5.2747110E-04,  2.2966739E-02,  2.2560542E+01,  1.3600010E-04
206,  1.2356749E+01,7361,  5.2467309E-04,  2.2905744E-02,  2.2406601E+01,  1.3799989E-04
207,  1.2648827E+01,7434,  5.2297120E-04,  2.2868564E-02,  2.2959865E+01,  1.3899989E-04
208,  1.2562930E+01,7508,  5.1853953E-04,  2.2771463E-02,  2.2797155E+01,  1.4000013E-04
209,  1.2551270E+01,7583,  5.1391250E-04,  2.2669638E-02,  2.2775069E+01,  1.4099991E-04
210,  1.2445671E+01,7658,  5.0913079E-04,  2.2563927E-02,  2.2575039E+01,  1.4299992E-04
211,  1.2512123E+01,7734,  5.0419294E-04,  2.2454241E-02,  2.2700915E+01,  1.4499994E-04
212,  1.2523768E+01,7811,  4.9937077E-04,  2.2346605E-02,  2.2722974E+01,  1.4599995E-04
213,  1.2414231E+01,7889,  4.9515266E-04,  2.2252026E-02,  2.2515486E+01,  1.6499986E-04
214,  1.2554634E+01,7967,  4.9083587E-04,  2.2154816E-02,  2.2781442E+01,  1.4899997E-04
215,  1.2632498E+01,8046,  4.8853831E-04,  2.2102903E-02,  2.2928934E+01,  1.4999998E-04
216,  1.2658077E+01,8126,  4.8717331E-04,  2.2072003E-02,  2.2977386E+01,  1.5099999E-04
217,  1.2465710E+01,8207,  4.8244305E-04,  2.1964586E-02,  2.2612998E+01,  1.5300000E-04
218,  1.2479179E+01,8289,  4.7768673E-04,  2.1856046E-02,  2.2638512E+01,  1.5500002E-04
219,  1.2514166E+01,8371,  4.7307080E-04,  2.1750191E-02,  2.2704785E+01,  1.5600002E-04
220,  1.2532556E+01,8454,  4.6862821E-04,  2.1647822E-02,  2.2739621E+01,  1.5800004E-04
221,  1.2562687E+01,8538,  4.6461175E-04,  2.1554854E-02,  2.2796696E+01,  1.6000005E-04
222,  1.2544368E+01,8623,  4.6035285E-04,  2.1455835E-02,  2.2761995E+01,  1.6100006E-04
223,  1.2472228E+01,8709,  4.5585039E-04,  2.1350653E-02,  2.2625345E+01,  1.6299984E-04
224,  1.2492914E+01,8796,  4.5134127E-04,  2.1244794E-02,  2.2664528E+01,  1.6500009E-04
225,  1.2366138E+01,8883,  4.4868906E-04,  2.1182282E-02,  2.2424386E+01,  1.6599987E-04
226,  1.2546629E+01,8971,  4.4462824E-04,  2.1086210E-02,  2.2766278E+01,  1.6700011E-04
227,  1.2532889E+01,9060,  4.4044878E-04,  2.0986872E-02,  2.2740251E+01,  2.3099990E-04
228,  1.2413222E+01,9150,  4.3678497E-04,  2.0899401E-02,  2.2513573E+01,  1.7099991E-04
229,  1.2457620E+01,9241,  4.3260539E-04,  2.0799168E-02,  2.2597674E+01,  2.0699995E-04
230,  1.2513592E+01,9333,  4.2839434E-04,  2.0697689E-02,  2.2703698E+01,  1.7399993E-04
231,  1.2392199E+01,9426,  4.2520329E-04,  2.0620458E-02,  2.2473752E+01,  1.7600018E-04
232,  1.2613260E+01,9520,  4.2257296E-04,  2.0556579E-02,  2.2892493E+01,  1.7800019E-04
233,  1.2474077E+01,9615,  4.1842817E-04,  2.0455517E-02,  2.2628848E+01,  1.7900020E-04
234,  1.2452831E+01,9711,  4.1444270E-04,  2.0357866E-02,  2.2588603E+01,  1.8200022E-04
235,  1.2434880E+01,9808,  4.1066433E-04,  2.0264855E-02,  2.2554600E+01,  1.9700010E-04
236,  1.2461520E+01,9906,  4.0668773E-04,  2.0166500E-02,  2.2605061E+01,  1.8500001E-04
237,  1.2434681E+01,10005,  4.0297582E-04,  2.0074258E-02,  2.2554223E+01,  1.8700003E-04
238,  1.2526701E+01,10105,  3.9911675E-04,  1.9977907E-02,  2.2728531E+01,  1.8799980E-04
239,  1.2511789E+01,10206,  3.9521027E-04,  1.9879896E-02,  2.2700284E+01,  1.9000005E-04
240,  1.2441196E+01,10308,  3.9153629E-04,  1.9787276E-02,  2.2566564E+01,  1.9299984E-04
241,  1.2497476E+01,10411,  3.8766692E-04,  1.9689259E-02,  2.2673172E+01,  1.9500009E-04
242,  1.2505486E+01,10515,  3.8385340E-04,  1.9592177E-02,  2.2688344E+01,  1.9599986E-04
243,  1.2348637E+01,10620,  3.8194841E-04,  1.9543501E-02,  2.2391235E+01,  1.9800011E-04
244,  1.2468992E+01,10726,  3.7821456E-04,  1.9447739E-02,  2.2619215E+01,  1.9999989E-04
245,  1.2468139E+01,10833,  3.7452223E-04,  1.9352577E-02,  2.2617599E+01,  2.0299992E-04
246,  1.2483071E+01,10941,  3.7082913E-04,  1.9256924E-02,  2.2645885E+01,  2.0400016E-04
247,  1.2456009E+01,11050,  3.6727396E-04,  1.9164393E-02,  2.2594622E+01,  2.9399991E-04
248,  1.2374843E+01,11160,  3.6483084E-04,  1.9100546E-02,  2.2440876E+01,  2.0799995E-04
249,  1.2517448E+01,11271,  3.6130793E-04,  1.9008102E-02,  2.2711003E+01,  2.2199983E-04
250,  1.2439061E+01,11383,  3.5797388E-04,  1.8920198E-02,  2.2562519E+01,  2.1299999E-04
251,  1.2385061E+01,11496,  3.5539353E-04,  1.8851884E-02,  2.2460230E+01,  2.1500001E-04
252,  1.2521170E+01,11610,  3.5199388E-04,  1.8761500E-02,  2.2718052E+01,  2.1700002E-04
